symbol,exit_price,pnl,pct,reason,line
RVSN,1.38,-3.77,-5.00%,stop_loss,"2025-11-17 19:24:32,771 INFO core.backtester - [EXIT] RVSN | Price: $1.38 | P&L: $-3.77 (-5.00%) | Reason: stop_loss component=intraday_bt"
HYPR,1.13,-3.75,-5.00%,stop_loss,"2025-11-17 19:24:32,823 INFO core.backtester - [EXIT] HYPR | Price: $1.13 | P&L: $-3.75 (-5.00%) | Reason: stop_loss component=intraday_bt"
QH,1.23,-3.68,-5.00%,stop_loss,"2025-11-17 19:24:32,864 INFO core.backtester - [EXIT] QH | Price: $1.23 | P&L: $-3.68 (-5.00%) | Reason: stop_loss component=intraday_bt"
PXLW,1.54,-3.65,-5.00%,stop_loss,"2025-11-17 19:24:32,910 INFO core.backtester - [EXIT] PXLW | Price: $1.54 | P&L: $-3.65 (-5.00%) | Reason: stop_loss component=intraday_bt"
SND,2.12,-3.68,-5.00%,stop_loss,"2025-11-17 19:24:33,088 INFO core.backtester - [EXIT] SND | Price: $2.12 | P&L: $-3.68 (-5.00%) | Reason: stop_loss component=intraday_bt"
INTG,28.02,-2.95,-5.00%,stop_loss,"2025-11-17 19:24:33,139 INFO core.backtester - [EXIT] INTG | Price: $28.02 | P&L: $-2.95 (-5.00%) | Reason: stop_loss component=intraday_bt"
ADIL,2.03,-3.64,-5.00%,stop_loss,"2025-11-17 19:24:52,700 INFO core.backtester - [EXIT] ADIL | Price: $2.03 | P&L: $-3.64 (-5.00%) | Reason: stop_loss component=intraday_bt"
NCRA,1.04,-7.37,-5.00%,stop_loss,"2025-11-17 19:24:52,740 INFO core.backtester - [EXIT] NCRA | Price: $1.04 | P&L: $-7.37 (-5.00%) | Reason: stop_loss component=intraday_bt"
INTG,27.45,-2.89,-5.00%,stop_loss,"2025-11-17 19:24:52,784 INFO core.backtester - [EXIT] INTG | Price: $27.45 | P&L: $-2.89 (-5.00%) | Reason: stop_loss component=intraday_bt"
CPOP,1.05,-3.61,-5.00%,stop_loss,"2025-11-17 19:24:52,824 INFO core.backtester - [EXIT] CPOP | Price: $1.05 | P&L: $-3.61 (-5.00%) | Reason: stop_loss component=intraday_bt"
